Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
EPIC.address,"EPIC array probe addresses, $ordering and $controls",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 28 2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/EPIC.address.rda,NA,NA
HM27.address,"HM27 array probe addresses, $ordering and $controls",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 28 2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/HM27.address.rda,NA,NA
HM450.1.TCGA.PAAD,"HM450 array of a PAAD tumor TCGA-2L-AAQA-01A-21D-A38H-05, $betas (numeric), $sset (SigSet)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,Aug 18 2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/HM450.1.TCGA.PAAD.rda,NA,NA
HM450.address,"HM450 array probe addresses, $ordering and $controls",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 28 2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/HM450.address.rda,NA,NA
MM285.1.NOD.FrontalLobe,MM285 SigSet of a frontal lobe mouse tissue sample,3.12,NA,RDA,https://github.com/zhou-lab/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SigSet,Rda,sesameData/v1.9.1/MM285.1.NOD.FrontalLobe.rda,NA,NA
MM285.10.tissues,MM285 10 tissue example data summarized experiment,3.12,NA,RDA,https://github.com/zhou-lab/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.9.1/MM285.10.tissues.rda,NA,NA
MM285.address,"MM285 array probe addresses, $ordering and $controls",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/MM285.address.rda,NA,NA
MM285.bloodSignature,MM285 blood signature summarized experiment,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Apr 1 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.9.1/MM285.bloodSignature.rda,NA,NA
MM285.clock347,"MM285 epigenetic clock that predicts mouse age in month, $intercept, and $slope, 347 probes",3.12,NA,RDA,https://github.com/zhou-lab/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/MM285.clock347.rda,NA,NA
MM285.mm10.manifest,Annotated manifest of MM285 array on mm10,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Jan 1st 2020,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.9.1/MM285.mm10.manifest.rda,NA,NA
MM285.strain.snp.table,MM285 strain-specific SNP table,3.12,NA,RDA,https://github.com/zhou-lab/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,matrix,Rda,sesameData/v1.9.1/MM285.strain.snp.table.rda,NA,NA
MM285.tissueSignature,MM285 tissue signature summarized experiment,3.12,NA,RDA,https://github.com/zhou-lab/InfiniumAnnotation,Mar 28 2021,Mus musculus,10090,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,SummarizedExperiment,Rda,sesameData/v1.9.1/MM285.tissueSignature.rda,NA,NA
Mammal40.address,"HorvathMammalMethylChip40 array probe addresses, $ordering, $controls, and $species",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 28 2021,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/Mammal40.address.rda,NA,NA
Mammal40.alignmentScore,HorvathMammalMethylChip40 array alignment scores,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Apr 1 2021,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,matrix,Rda,sesameData/v1.9.1/Mammal40.alignmentScore.rda,NA,NA
idatSignature,idat tango address to discriminate array platform,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Apr 1 2021,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/idatSignature.rda,NA,NA
probeIDSignature,probe ID to discriminate array platform,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Apr 1 2021,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.9.1/probeIDSignature.rda,NA,NA
